qkey,lang,device_type,gender,agecat,racethnmod,racecmb,hisp,educcat,inc,inc_tier2,marital,relig,religcat1,attendper,cregion,usr_selfid,party,partysum,ideo,tipview,tip1,tip2,tipsugg,tipauto,tipexpect,tipself,tipfreq_rest_serv,tipfreq_rest_noserv,tipfreq_delvry,tipfreq_coffee,tipfreq_bar,tipfreq_taxi,tipfreq_hairct,tipfactor1_qual,tipfactor1_socpre,tipfactor1_wrkearn,tipfactor1_cost,tipfactor2_qual,tipfactor2_socpre,tipfactor2_wrkearn,tipfactor2_cost,tipamount,tipshare,sportsfan,sportsnum,talksports,ussport,sportsatt,whysports_comm,whysports_team,whysports_player,whysports_entertain,whysports_bet,whysports_family,whynotsports_othint,whynotsports_boring,whynotsports_compete,whynotsports_violent,whynotsports_political,whynotsports_money
103677,1,2,Male,50-64,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Seldom,Northeast,Suburban,Republican,Rep/Lean Rep,Very conservative,1,,2.0,5,5,1,1,1,1,1,3,1,1,1,,,,,1.0,1.0,3.0,3.0,3,1,2,4,3,3,3,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,
103956,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$30,000–$39,999",Middle income,Widowed,Other,Other,Never,Midwest,Urban,Democrat,Dem/Lean Dem,Liberal,2,,3.0,2,5,1,2,1,4,6,5,1,2,1,,,,,1.0,2.0,1.0,2.0,2,3,5,1,5,1,1,,,,,,,1.0,3.0,3.0,1.0,3.0,1.0
104210,1,2,Female,30-49,White non-Hispanic,White,No,H.S. graduate or less,"$30,000–$39,999",Lower income,Living with a partner,Nothing in particular,Unaffiliated,Never,Northeast,Urban,Democrat,Dem/Lean Dem,Very liberal,1,,3.0,2,6,1,1,2,4,6,3,1,2,1,,,,,1.0,3.0,3.0,3.0,4,1,5,5,5,3,1,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0
104368,1,1,Male,65+,White non-Hispanic,White,No,H.S. graduate or less,"$30,000–$39,999",Middle income,Married,Protestant,Protestant,More than once a week,South,Suburban,Independent,Rep/Lean Rep,Moderate,1,2.0,,4,5,1,2,2,4,2,4,4,3,3,1.0,2.0,2.0,2.0,,,,,1,3,3,1,5,1,1,2.0,1.0,3.0,2.0,3.0,3.0,,,,,,
104491,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$40,000–$49,999",Middle income,Widowed,Nothing in particular,Unaffiliated,Never,West,Urban,Democrat,Dem/Lean Dem,Very liberal,3,,3.0,2,4,1,2,1,6,1,6,6,6,5,,,,,2.0,3.0,3.0,3.0,4,1,5,5,6,2,1,,,,,,,1.0,3.0,2.0,3.0,1.0,1.0
104689,1,2,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"Less than $30,000",Lower income,Widowed,Protestant,Protestant,Once a week,Midwest,Rural,Democrat,Dem/Lean Dem,Moderate,3,,3.0,4,4,3,1,1,4,2,4,2,1,1,,,,,1.0,2.0,2.0,1.0,1,3,3,3,2,1,3,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,
104727,1,2,Male,50-64,White non-Hispanic,White,No,H.S. graduate or less,99,99,Married,Roman Catholic,Catholic,Never,Midwest,Rural,Republican,Rep/Lean Rep,Conservative,1,2.0,,4,5,1,2,1,4,6,2,2,3,3,1.0,2.0,3.0,3.0,,,,,2,1,5,5,5,1,1,,,,,,,1.0,2.0,3.0,3.0,3.0,1.0
105124,1,1,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Once a week,South,Suburban,Republican,Rep/Lean Rep,Conservative,1,2.0,,3,5,3,1,1,4,6,1,1,1,1,1.0,3.0,3.0,3.0,,,,,4,1,2,4,3,1,1,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,
105205,1,1,Female,50-64,White non-Hispanic,White,No,Some College,"$100,000 or more",Middle income,Married,Roman Catholic,Catholic,More than once a week,Midwest,Suburban,Republican,Rep/Lean Rep,Very conservative,1,,2.0,5,5,3,2,1,5,1,5,3,1,1,,,,,1.0,2.0,3.0,3.0,2,3,2,1,4,3,3,2.0,1.0,1.0,2.0,3.0,3.0,,,,,,
105269,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$50,000–$59,999",Middle income,Married,Roman Catholic,Catholic,A few times a year,Midwest,Suburban,Independent,Dem/Lean Dem,Moderate,3,4.0,,5,5,1,2,1,5,2,6,2,1,1,1.0,3.0,3.0,1.0,,,,,2,1,2,3,2,3,1,2.0,1.0,2.0,1.0,3.0,3.0,,,,,,
106180,1,1,Male,50-64,White non-Hispanic,White,No,Some College,"$100,000 or more",Middle income,Married,Protestant,Protestant,More than once a week,South,Rural,Republican,Rep/Lean Rep,Very conservative,3,,4.0,2,5,1,2,1,5,2,6,6,6,1,,,,,1.0,2.0,3.0,3.0,2,1,4,2,5,1,1,,,,,,,1.0,3.0,3.0,3.0,2.0,1.0
106444,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Never,Northeast,Suburban,Democrat,Dem/Lean Dem,Liberal,3,,3.0,3,3,3,1,1,4,1,4,1,1,1,,,,,2.0,3.0,2.0,3.0,4,2,5,1,5,1,1,,,,,,,1.0,3.0,3.0,3.0,3.0,2.0
106590,1,2,Female,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Nothing in particular,Unaffiliated,Seldom,West,Suburban,Independent,Rep/Lean Rep,Moderate,1,,4.0,5,5,1,2,1,5,1,1,1,6,1,,,,,1.0,1.0,3.0,3.0,2,3,5,1,6,3,1,,,,,,,1.0,1.0,3.0,1.0,2.0,1.0
106885,1,2,Female,65+,Hispanic,Mixed Race,Yes,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,More than once a week,West,Suburban,Republican,Rep/Lean Rep,Conservative,3,3.0,,3,3,1,2,1,2,6,6,1,6,99,1.0,2.0,3.0,3.0,,,,,2,3,4,2,4,1,1,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0
107023,1,1,Female,50-64,Black non-Hispanic,Black or African-American,No,Some College,"$50,000–$59,999",Middle income,Never been married,Protestant,Protestant,A few times a year,South,Suburban,Democrat,Dem/Lean Dem,Moderate,2,2.0,,2,4,1,1,1,3,1,6,6,6,6,1.0,3.0,3.0,3.0,,,,,2,1,5,5,6,3,3,,,,,,,2.0,3.0,3.0,3.0,3.0,1.0
107612,1,2,Female,65+,Black non-Hispanic,Black or African-American,No,Some College,"Less than $30,000",Lower income,Married,Protestant,Protestant,Once a week,South,Suburban,99,Dem/Lean Dem,Moderate,99,3.0,,5,5,3,1,1,5,1,5,1,5,5,1.0,3.0,3.0,3.0,,,,,3,1,5,2,3,2,3,,,,,,,3.0,3.0,3.0,3.0,1.0,3.0
107668,1,2,Female,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Never been married,Protestant,Protestant,Never,South,Rural,Republican,Rep/Lean Rep,Moderate,3,3.0,,2,4,1,2,1,4,1,6,1,6,1,1.0,3.0,3.0,3.0,,,,,2,1,4,5,3,1,1,,,,,,,2.0,3.0,3.0,3.0,2.0,3.0
108035,1,1,Male,50-64,Black non-Hispanic,Black or African-American,No,H.S. graduate or less,"$70,000–$79,999",Middle income,Married,Protestant,Protestant,Once or twice a month,West,Suburban,Republican,Rep/Lean Rep,Very conservative,3,1.0,,5,5,1,2,1,5,6,5,4,5,4,1.0,3.0,2.0,1.0,,,,,1,1,5,5,6,6,1,,,,,,,2.0,3.0,3.0,3.0,1.0,1.0
108348,1,1,Female,50-64,White non-Hispanic,White,99,Some College,"$40,000–$49,999",Middle income,Never been married,Protestant,Protestant,Once a week,West,Urban,Independent,Rep/Lean Rep,Conservative,2,3.0,,4,5,1,2,1,5,6,6,6,6,3,1.0,2.0,3.0,2.0,,,,,1,1,5,5,6,99,1,,,,,,,1.0,1.0,3.0,3.0,3.0,2.0
108435,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,A few times a year,Midwest,Suburban,Republican,Rep/Lean Rep,Conservative,3,,4.0,2,4,1,2,1,4,1,4,2,1,2,,,,,2.0,1.0,1.0,2.0,4,3,5,5,6,3,3,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
108592,1,1,Female,65+,Black non-Hispanic,Black or African-American,No,Some College,"$60,000–$69,999",99,Divorced,Protestant,Protestant,Once a week,Midwest,Suburban,Democrat,Dem/Lean Dem,Moderate,2,,4.0,3,4,1,1,2,4,2,4,2,2,2,,,,,1.0,2.0,3.0,1.0,6,1,4,5,5,2,3,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
109143,1,2,Female,30-49,White non-Hispanic,White,No,H.S. graduate or less,"$50,000–$59,999",Middle income,Divorced,Protestant,Protestant,Seldom,South,Suburban,Republican,Rep/Lean Rep,Moderate,3,,2.0,3,4,1,2,1,1,6,6,1,1,1,,,,,2.0,2.0,3.0,3.0,2,3,2,2,6,3,3,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,
109188,1,3,Female,65+,White non-Hispanic,White,No,College graduate+,"$40,000–$49,999",Middle income,Divorced,Roman Catholic,Catholic,A few times a year,Midwest,Suburban,Independent,Dem/Lean Dem,99,2,4.0,,2,99,1,2,1,5,1,3,3,1,1,1.0,1.0,1.0,2.0,,,,,4,99,3,2,6,3,3,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,
109299,1,2,Male,65+,Hispanic,Or some other race,Yes,Some College,"$80,000–$89,999",Middle income,Married,Other,Other,Seldom,West,Suburban,Something else,Rep/Lean Rep,Moderate,3,,2.0,5,5,3,2,1,5,6,3,6,6,2,,,,,1.0,3.0,1.0,3.0,1,1,5,5,6,2,1,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
110041,1,1,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Agnostic,Unaffiliated,Never,South,Suburban,Republican,Rep/Lean Rep,Conservative,2,,2.0,3,5,1,1,1,5,1,1,1,1,1,,,,,2.0,1.0,3.0,3.0,4,3,1,2,3,3,3,2.0,1.0,1.0,1.0,3.0,3.0,,,,,,
110129,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$50,000–$59,999",Middle income,Married,Protestant,Protestant,Once a week,Midwest,Suburban,Republican,Rep/Lean Rep,Conservative,1,,2.0,3,4,1,2,1,4,6,6,6,6,4,,,,,1.0,3.0,2.0,1.0,2,1,3,2,5,3,1,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,
110353,1,2,Female,65+,White non-Hispanic,White,No,Some College,"$50,000–$59,999",Lower income,Married,Protestant,Protestant,Once a week,Midwest,Rural,Republican,Rep/Lean Rep,Conservative,1,3.0,,2,4,1,1,99,2,4,1,99,99,1,2.0,2.0,1.0,2.0,,,,,3,1,3,2,5,3,3,2.0,1.0,2.0,2.0,3.0,2.0,,,,,,
110550,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,South,Suburban,Something else,Rep/Lean Rep,Moderate,3,1.0,,3,4,1,2,1,5,1,3,1,1,1,1.0,2.0,3.0,3.0,,,,,4,1,5,5,6,1,3,,,,,,,1.0,2.0,3.0,3.0,3.0,3.0
111646,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Married,Mormon (LDS),Other,Once a week,West,Suburban,Democrat,Dem/Lean Dem,Moderate,3,3.0,,3,5,1,2,1,4,1,4,6,2,2,1.0,2.0,1.0,2.0,,,,,2,1,2,3,4,3,1,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,
111927,1,2,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"Less than $30,000",Lower income,Divorced,Nothing in particular,Unaffiliated,A few times a year,Midwest,Rural,Something else,No lean,Conservative,2,4.0,,5,5,1,1,2,5,5,4,2,4,2,1.0,1.0,3.0,2.0,,,,,1,1,4,2,3,6,1,,,,,,,3.0,3.0,3.0,3.0,2.0,1.0
112238,1,2,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"$40,000–$49,999",Middle income,Living with a partner,Nothing in particular,Unaffiliated,Seldom,West,Suburban,Republican,Rep/Lean Rep,Moderate,3,,2.0,3,5,1,2,1,5,1,4,3,6,3,,,,,1.0,1.0,2.0,2.0,1,1,3,2,6,3,1,2.0,2.0,1.0,1.0,3.0,2.0,,,,,,
112371,1,2,Female,50-64,Hispanic,White,Yes,Some College,99,99,Married,Roman Catholic,Catholic,Seldom,Northeast,Suburban,Independent,Rep/Lean Rep,Conservative,2,3.0,,5,5,1,2,1,5,1,4,2,1,1,1.0,1.0,3.0,3.0,,,,,3,1,5,5,6,1,1,,,,,,,1.0,3.0,3.0,2.0,1.0,2.0
112517,1,2,Female,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,Midwest,Suburban,Independent,Rep/Lean Rep,Conservative,2,4.0,,3,5,1,1,1,5,6,5,1,6,1,1.0,3.0,3.0,3.0,,,,,3,1,5,3,3,1,1,,,,,,,3.0,3.0,3.0,2.0,99.0,1.0
112613,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$90,000–$99,999",Upper income,Never been married,Protestant,Protestant,A few times a year,South,Urban,Republican,Rep/Lean Rep,Moderate,3,,3.0,2,5,1,2,1,5,3,5,2,6,1,,,,,1.0,3.0,3.0,2.0,3,1,3,2,6,3,3,3.0,2.0,3.0,2.0,1.0,3.0,,,,,,
112984,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,99,99,Married,Nothing in particular,Unaffiliated,Seldom,South,Urban,Democrat,Dem/Lean Dem,Liberal,3,,2.0,5,6,1,1,1,4,1,6,6,6,2,,,,,1.0,3.0,3.0,3.0,3,2,5,5,99,99,99,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
113274,1,2,Male,50-64,White non-Hispanic,White,99,College graduate+,"$30,000–$39,999",Lower income,Living with a partner,Jewish,Other,Once or twice a month,Northeast,Suburban,Democrat,Dem/Lean Dem,Conservative,1,,2.0,3,3,3,1,1,2,1,1,1,1,1,,,,,2.0,1.0,1.0,1.0,1,1,5,1,1,3,1,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0
113412,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$40,000–$49,999",Middle income,Married,Nothing in particular,Unaffiliated,Never,South,Suburban,Republican,Rep/Lean Rep,Very conservative,3,,2.0,1,1,1,1,1,4,6,4,6,6,1,,,,,1.0,3.0,3.0,3.0,4,1,5,5,6,3,3,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
113565,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$60,000–$69,999",Middle income,Married,Protestant,Protestant,Once a week,South,Rural,Democrat,Dem/Lean Dem,Conservative,1,4.0,,5,5,1,2,1,5,6,6,6,6,3,1.0,3.0,3.0,2.0,,,,,2,1,3,2,5,3,1,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,
114197,1,2,Female,50-64,White non-Hispanic,White,No,College graduate+,"$40,000–$49,999",Middle income,Widowed,Roman Catholic,Catholic,Never,Northeast,Suburban,Republican,Rep/Lean Rep,Moderate,3,,4.0,3,5,1,1,1,1,6,6,1,6,1,,,,,1.0,2.0,3.0,2.0,2,1,5,5,6,3,3,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
114473,1,2,Female,65+,Other,Mixed Race,No,College graduate+,"Less than $30,000",Lower income,Never been married,Protestant,Protestant,More than once a week,Northeast,Suburban,Republican,Rep/Lean Rep,Conservative,3,4.0,,3,5,3,2,1,3,6,1,6,6,3,1.0,2.0,2.0,3.0,,,,,2,1,5,2,6,1,1,,,,,,,2.0,3.0,3.0,1.0,3.0,3.0
114671,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Seldom,West,Rural,Independent,Rep/Lean Rep,Conservative,1,,2.0,3,5,1,2,1,4,6,4,6,6,6,,,,,1.0,2.0,1.0,2.0,2,1,3,2,6,1,1,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,
114898,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,Midwest,Rural,Republican,Rep/Lean Rep,Conservative,2,3.0,,3,5,3,2,1,5,6,6,6,2,3,3.0,1.0,3.0,3.0,,,,,3,3,4,2,5,2,1,,,,,,,1.0,2.0,3.0,3.0,2.0,1.0
115295,1,1,Male,65+,Other,Mixed Race,No,Some College,"$60,000–$69,999",Middle income,Never been married,Protestant,Protestant,Once a week,West,Suburban,Independent,Rep/Lean Rep,Conservative,1,2.0,,5,5,1,2,1,5,6,3,6,6,6,3.0,3.0,3.0,3.0,,,,,6,1,4,5,1,3,1,,,,,,,3.0,3.0,3.0,3.0,1.0,1.0
115546,1,2,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Agnostic,Unaffiliated,Never,Midwest,Rural,Independent,Dem/Lean Dem,Moderate,1,3.0,,4,5,1,1,1,4,6,1,4,1,1,1.0,2.0,2.0,3.0,,,,,4,1,5,5,5,3,1,,,,,,,1.0,2.0,3.0,3.0,3.0,1.0
116151,1,2,Female,65+,White non-Hispanic,White,No,99,"Less than $30,000",Lower income,Married,Protestant,Protestant,More than once a week,West,Suburban,Republican,Rep/Lean Rep,Very conservative,2,,3.0,3,4,1,1,1,1,1,1,6,6,2,,,,,2.0,2.0,3.0,3.0,2,2,2,3,4,7,3,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,
116182,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Protestant,Protestant,Seldom,West,Urban,Republican,Rep/Lean Rep,Conservative,3,,2.0,3,5,1,1,1,5,2,4,1,2,1,,,,,1.0,3.0,3.0,3.0,2,1,2,3,1,3,1,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,
116264,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$60,000–$69,999",Middle income,Married,Roman Catholic,Catholic,A few times a year,Northeast,Rural,Republican,Rep/Lean Rep,Moderate,1,1.0,,1,5,1,1,1,6,1,1,1,1,1,1.0,3.0,3.0,3.0,,,,,2,3,3,3,3,1,3,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,
116422,1,2,Female,65+,White non-Hispanic,White,No,H.S. graduate or less,"$80,000–$89,999",Middle income,Widowed,Nothing in particular,Unaffiliated,Seldom,Midwest,Rural,Independent,No lean,Moderate,3,4.0,,3,4,3,2,1,4,6,3,3,6,6,1.0,2.0,1.0,1.0,,,,,2,1,5,5,6,3,1,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
116439,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$60,000–$69,999",Middle income,Never been married,Protestant,Protestant,Once a week,West,Suburban,Independent,Rep/Lean Rep,Moderate,2,,2.0,2,5,1,2,1,3,1,5,6,2,2,,,,,1.0,1.0,2.0,1.0,2,1,4,5,4,1,1,,,,,,,2.0,3.0,3.0,3.0,2.0,3.0
116591,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$30,000–$39,999",Lower income,Married,Nothing in particular,Unaffiliated,Never,South,Suburban,Independent,Rep/Lean Rep,Moderate,3,,2.0,2,4,2,1,1,5,1,6,6,6,1,,,,,1.0,3.0,3.0,2.0,1,1,1,2,1,3,3,3.0,1.0,2.0,1.0,3.0,2.0,,,,,,
116617,1,1,Male,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,A few times a year,South,Suburban,Independent,Dem/Lean Dem,Moderate,2,,4.0,3,4,1,2,1,5,1,5,1,1,5,,,,,1.0,1.0,3.0,3.0,2,1,4,1,5,3,1,,,,,,,1.0,2.0,3.0,3.0,3.0,2.0
116832,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$60,000–$69,999",Middle income,Never been married,Protestant,Protestant,Never,Midwest,Suburban,Something else,Rep/Lean Rep,Very conservative,3,3.0,,2,5,1,2,1,5,6,1,1,1,1,2.0,2.0,2.0,3.0,,,,,1,1,5,5,6,6,1,,,,,,,1.0,1.0,3.0,3.0,1.0,1.0
116861,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"$30,000–$39,999",Lower income,Married,Protestant,Protestant,More than once a week,Midwest,Rural,Republican,Rep/Lean Rep,Very conservative,2,4.0,,3,5,1,2,1,4,6,6,6,6,6,1.0,2.0,1.0,2.0,,,,,2,1,5,5,1,1,1,,,,,,,1.0,1.0,3.0,3.0,2.0,3.0
116998,1,1,Female,50-64,Black non-Hispanic,Black or African-American,No,College graduate+,99,99,Divorced,Protestant,Protestant,A few times a year,Midwest,Suburban,Democrat,Dem/Lean Dem,Liberal,1,3.0,,3,4,3,2,1,4,6,4,1,1,1,1.0,3.0,3.0,2.0,,,,,2,1,4,2,5,3,3,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
117214,1,1,Male,30-49,White non-Hispanic,White,No,College graduate+,"$40,000–$49,999",Lower income,Married,Agnostic,Unaffiliated,Never,Northeast,Rural,Something else,Dem/Lean Dem,Very liberal,2,,4.0,4,2,3,1,1,4,1,1,1,1,1,,,,,2.0,2.0,1.0,2.0,4,1,4,4,6,2,1,,,,,,,1.0,2.0,3.0,1.0,3.0,1.0
